StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,thinPrej,time_beliPrej_First Click,time_beliPrej_Last Click,time_beliPrej_Page Submit,time_beliPrej_Click Count,thinComp,time_thinComp_First Click,time_thinComp_Last Click,time_thinComp_Page Submit,time_thinComp_Click Count,ThinComp,probPrej,time_probPrej_First Click,time_probPrej_Last Click,time_probPrej_Page Submit,time_probPrej_Click Count,probComp,time_probComp_First Click,time_probComp_Last Click,time_probComp_Page Submit,time_probComp_Click Count,ProbComp,politics,religion,gender,age,race,race_5_TEXT
1/5/2019 12:32,1/5/2019 12:32,IP Address,,100,45,TRUE,1/5/2019 12:32,R_uvRMYxhQrGCMo2B,,,,,,,anonymous,EN,"“No, it’s not”",1.734,25.311,26.201,5,,,,,,I don't think you have strep.,,,,,,,,,,,,4,2,Male,24,White,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,39,TRUE,1/5/2019 12:33,R_2PuM676Fu6CCVHy,,,,,,,anonymous,EN,,,,,,,,,,,,"“No, it’s not”",3.146,16.171,21.767,4,,,,,,You probably don’t have strep.,3,Not at All Religious,Male,27,White,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,54,TRUE,1/5/2019 12:33,R_3KTvFUywW1R7AJQ,,,,,,,anonymous,EN,,,,,,"“Yes, it is”",23.845,36.017,37.092,2,I don't think you have strep.,,,,,,,,,,,,Very Liberal,Not at All Religious,Male,26,White,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,37,TRUE,1/5/2019 12:33,R_3iPjq7UAu53LwXH,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,"“Yes, it is”",0.973,4.629,25.148,2,You probably don’t have strep.,Very Liberal,Not at All Religious,Male,28,White,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,47,TRUE,1/5/2019 12:33,R_3OdiYT39fB15y2y,,,,,,,anonymous,EN,,,,,,"“Yes, it is”",6.315,8.058,9.312,2,I think you have strep.,,,,,,,,,,,,Very Conservative,4,Female,55,White,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,43,TRUE,1/5/2019 12:33,R_2y3ASd7Bj7DRZsB,,,,,,,anonymous,EN,"“No, it’s not”",7.976,18.455,21.896,3,,,,,,I don't think you have strep.,,,,,,,,,,,,4,Not at All Religious,Male,32,Asian,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,68,TRUE,1/5/2019 12:33,R_2RP43VlLx89yBe3,,,,,,,anonymous,EN,"“No, it’s not”",34.436,34.436,42.11,1,,,,,,I don't think you have strep.,,,,,,,,,,,,Very Liberal,Not at All Religious,Female,40,White,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,58,TRUE,1/5/2019 12:33,R_tXQK9oskacsff7H,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,"“Yes, it is”",34.664,34.664,38.09,1,You probably don’t have strep.,2,Not at All Religious,Male,23,White,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,33,TRUE,1/5/2019 12:33,R_50jjnaUGjZZ5gCB,,,,,,,anonymous,EN,"“Yes, it is”",1.626,1.626,2.788,1,,,,,,I think you have strep.,,,,,,,,,,,,5,Extremely Religious,Male,28,White,
1/5/2019 12:32,1/5/2019 12:33,IP Address,,100,44,TRUE,1/5/2019 12:33,R_2f9hSIRSbuXJjEE,,,,,,,anonymous,EN,"“No, it’s not”",17.607,17.607,19.15,1,,,,,,I don't think you have strep.,,,,,,,,,,,,5,Extremely Religious,Male,29,White,
