StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,inc_modc,Time_modc_First Click,Time_modc_Last Click,Time_modc_Page Submit,Time_modc_Click Count,rel1_modc,rel2_modc,inc_thinkC,time_thinkC_First Click,time_thinkC_Last Click,time_thinkC_Page Submit,time_thinkC_Click Count,rel1_thinkC,rel2_thinkC,inc_nonc,Time_nonc_First Click,Time_nonc_Last Click,Time_nonc_Page Submit,Time_nonc_Click Count,rel1_nonc,rel2_nonc,true_modr,time_modr_First Click,time_modr_Last Click,time_modr_Page Submit,time_modr_Click Count,rel1_modr,rel2_modr,inc_thinkR,time_thinkR_First Click,time_thinkR_Last Click,time_thinkR_Page Submit,time_thinkR_Click Count,rel1_thinkR,rel2_thinkR,true_nonr,time_nonr_First Click,time_nonr_Last Click,time_nonr_Page Submit,time_nonr_Click Count,rel1_nonr,rel2_nonr,true_indc,time_indc_First Click,time_indc_Last Click,time_indc_Page Submit,time_indc_Click Count,rel1_indc,rel2_indc,true_inda,time_inda_First Click,time_inda_Last Click,time_inda_Page Submit,time_inda_Click Count,rel1_inda,rel2_inda,DemoInstr,Age,Gender,Gender_3_TEXT,Ethnicity,Ethnicity_6_TEXT,Education,SES
1/11/2019 16:22,1/11/2019 16:23,0,,100,50,1,1/11/2019 16:23,R_3PjX1L58acYpbBF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2.565,2.565,3.658,1,2,1,,,,,,,,,35,1,,5,,5,7
1/11/2019 16:22,1/11/2019 16:23,0,,100,67,1,1/11/2019 16:23,R_1FJQzh5yA4MQPuW,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,4,32.391,32.391,33.26,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,,5,,6,4
1/11/2019 16:23,1/11/2019 16:23,0,,100,41,1,1/11/2019 16:23,R_2WZQ3AVdXU1sA6G,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9.554,20.956,21.841,4,1,2,,,,,,,,,18,1,,5,,4,5
1/11/2019 16:22,1/11/2019 16:23,0,,100,61,1,1/11/2019 16:23,R_2BnPRFGVJ5clvQN,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27.16,28.312,28.648,3,2,2,,,,,,,,,,,,,,,,,,,,,,,27,2,,5,,6,7
1/11/2019 16:23,1/11/2019 16:23,0,,100,42,1,1/11/2019 16:23,R_3L7vUsuR28tF5K7,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,7,2.73,11.179,12.289,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,,5,,4,6
1/11/2019 16:22,1/11/2019 16:24,0,,100,82,1,1/11/2019 16:24,R_3pmAyqb3S77IXh1,,,,,,,anonymous,EN,6,36.484,36.484,39.28,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,,5,,5,6
1/11/2019 16:22,1/11/2019 16:24,0,,100,65,1,1/11/2019 16:24,R_1pPD9AudMjA5pVQ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11.269,14.659,16.032,3,1,2,,34,2,,5,,4,6
1/11/2019 16:22,1/11/2019 16:24,0,,100,92,1,1/11/2019 16:24,R_ptLfDIQg4v1DKzT,,,,,,,anonymous,EN,,,,,,,,7,7.455,50.679,53.619,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,,,,5,5
1/11/2019 16:22,1/11/2019 16:24,0,,100,83,1,1/11/2019 16:24,R_1opy7jXfupMi4B6,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17.828,41.957,42.632,5,1,2,,,,,,,,,,,,,,,,47,2,,5,,5,8
1/11/2019 16:22,1/11/2019 16:24,0,,100,74,1,1/11/2019 16:24,R_3LbfUvj2XEX5toy,,,,,,,anonymous,EN,,,,,,,,,,,,,,,4,2.819,16.301,18,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,5,,2,9
